"electrode","degree","strength","betweenness","condition","band","state","region"
"AF8",8,0.535184447351467,0,"alpha_med2","alpha","meditation","frontal"
"FC2",7,0.474583672871287,0,"alpha_med2","alpha","meditation","other"
"F4",7,0.467641789527661,0.000512032770097286,"alpha_med2","alpha","meditation","frontal"
"F6",7,0.46387956250899,0.000512032770097286,"alpha_med2","alpha","meditation","other"
"C3",6,0.443196693275932,0,"alpha_med2","alpha","meditation","central"
"F8",7,0.440577184584898,0,"alpha_med2","alpha","meditation","frontal"
"C5",7,0.439362031722566,0.0112647209421403,"alpha_med2","alpha","meditation","other"
"CPz",6,0.407687442026717,0,"alpha_med2","alpha","meditation","other"
"C2",6,0.399607170979585,0.00460829493087558,"alpha_med2","alpha","meditation","other"
"FC4",5,0.330128220291894,0,"alpha_med2","alpha","meditation","other"
"FC6",5,0.301965506362249,0.00204813108038914,"alpha_med2","alpha","meditation","other"
"Pz",3,0.180152980640153,0,"alpha_med2","alpha","meditation","parietal"
"C4",3,0.178569544776758,0.00102406554019457,"alpha_med2","alpha","meditation","central"
"FT8",3,0.175714949205149,0,"alpha_med2","alpha","meditation","other"
"CP2",2,0.13386010192668,0,"alpha_med2","alpha","meditation","central"
"T7",2,0.119003720323626,0,"alpha_med2","alpha","meditation","other"
"TP7",2,0.116193172562196,0.000512032770097286,"alpha_med2","alpha","meditation","temporal"
"CP5",1,0.0623646871356945,0,"alpha_med2","alpha","meditation","central"
"Fp1",0,0,0,"alpha_med2","alpha","meditation","frontal"
"PO3",0,0,0,"alpha_med2","alpha","meditation","parietal"
"POz",0,0,0,"alpha_med2","alpha","meditation","other"
"C6",0,0,0,"alpha_med2","alpha","meditation","other"
"T8",0,0,0,"alpha_med2","alpha","meditation","other"
"TP8",0,0,0,"alpha_med2","alpha","meditation","temporal"
"CP6",0,0,0,"alpha_med2","alpha","meditation","central"
"CP4",0,0,0,"alpha_med2","alpha","meditation","central"
"P2",0,0,0,"alpha_med2","alpha","meditation","other"
"P4",0,0,0,"alpha_med2","alpha","meditation","parietal"
"P6",0,0,0,"alpha_med2","alpha","meditation","other"
"P8",0,0,0,"alpha_med2","alpha","meditation","other"
"PO8",0,0,0,"alpha_med2","alpha","meditation","parietal"
"PO4",0,0,0,"alpha_med2","alpha","meditation","parietal"
"Oz",39,3.04096920551876,0.0291858678955453,"alpha_thinking","alpha","thinking","occipital"
"Iz",40,2.93393948735249,0.0522273425499232,"alpha_thinking","alpha","thinking","occipital"
"P9",36,2.52606207169107,0.039426523297491,"alpha_thinking","alpha","thinking","other"
"O1",34,2.35385724837506,0.00768049155145929,"alpha_thinking","alpha","thinking","occipital"
"PO7",33,2.15348933809814,0.0993343573988735,"alpha_thinking","alpha","thinking","parietal"
"P1",26,1.70418170196813,0.0547875064004096,"alpha_thinking","alpha","thinking","other"
"P7",25,1.61000786776239,0.0629800307219662,"alpha_thinking","alpha","thinking","other"
"CP1",18,1.21638851496,0.0302099334357399,"alpha_thinking","alpha","thinking","central"
"P3",19,1.21361465224271,0.00870455709165387,"alpha_thinking","alpha","thinking","parietal"
"P10",17,1.07790147855254,0.0199692780337942,"alpha_thinking","alpha","thinking","other"
"POz",16,1.02760429911193,0.0174091141833077,"alpha_thinking","alpha","thinking","other"
"AF3",12,0.813232015280282,0.00153609831029186,"alpha_thinking","alpha","thinking","frontal"
"F5",12,0.805222028934197,0.00768049155145929,"alpha_thinking","alpha","thinking","other"
"P5",13,0.802641075092856,0.032258064516129,"alpha_thinking","alpha","thinking","other"
"C1",11,0.779466932643149,0,"alpha_thinking","alpha","thinking","other"
"FC1",11,0.773237884628959,0,"alpha_thinking","alpha","thinking","other"
"FC3",11,0.763229144629324,0.00307219662058372,"alpha_thinking","alpha","thinking","other"
"F1",11,0.760026467933513,0,"alpha_thinking","alpha","thinking","other"
"F3",11,0.754728985426136,0,"alpha_thinking","alpha","thinking","frontal"
"AFz",11,0.751699722125188,0,"alpha_thinking","alpha","thinking","other"
"AF7",11,0.747035561063792,0,"alpha_thinking","alpha","thinking","frontal"
"Fpz",11,0.744161329428934,0.00716845878136201,"alpha_thinking","alpha","thinking","other"
"F7",11,0.731629645915452,0.00665642601126472,"alpha_thinking","alpha","thinking","frontal"
"C3",10,0.705621083726331,0.00512032770097286,"alpha_thinking","alpha","thinking","central"
"FCz",10,0.693932812392413,0,"alpha_thinking","alpha","thinking","other"
"Fz",10,0.691752333015725,0,"alpha_thinking","alpha","thinking","frontal"
"CP3",10,0.689305650182589,0.00614439324116743,"alpha_thinking","alpha","thinking","central"
"FC5",10,0.670343353485388,0.00563236047107015,"alpha_thinking","alpha","thinking","other"
"Cz",9,0.623244066000548,0.00153609831029186,"alpha_thinking","alpha","thinking","central"
"FT7",9,0.582640960663353,0.00665642601126472,"alpha_thinking","alpha","thinking","other"
"F2",8,0.554387269556751,0.000512032770097286,"alpha_thinking","alpha","thinking","other"
"Fp2",8,0.550222542005757,0,"alpha_thinking","alpha","thinking","frontal"
"C5",8,0.531111940298845,0.00614439324116743,"alpha_thinking","alpha","thinking","other"
"AF8",8,0.527690593359857,0.00102406554019457,"alpha_thinking","alpha","thinking","frontal"
"AF4",7,0.485006625648633,0,"alpha_thinking","alpha","thinking","frontal"
"FC2",6,0.42439976189915,0,"alpha_thinking","alpha","thinking","other"
"CPz",6,0.41940810645844,0,"alpha_thinking","alpha","thinking","other"
"F4",6,0.418448567049234,0,"alpha_thinking","alpha","thinking","frontal"
"F8",6,0.382679756519203,0.00204813108038914,"alpha_thinking","alpha","thinking","frontal"
"C2",5,0.343433981550672,0,"alpha_thinking","alpha","thinking","other"
"FC4",5,0.340346189013839,0,"alpha_thinking","alpha","thinking","other"
"F6",5,0.338780132593821,0,"alpha_thinking","alpha","thinking","other"
"FC6",4,0.253781997465505,0.003584229390681,"alpha_thinking","alpha","thinking","other"
"CP5",3,0.195532969613454,0.00307219662058372,"alpha_thinking","alpha","thinking","central"
"O2",3,0.188780068070738,0.000512032770097286,"alpha_thinking","alpha","thinking","occipital"
"T7",2,0.128939530298845,0,"alpha_thinking","alpha","thinking","other"
"Pz",2,0.127688979343481,0,"alpha_thinking","alpha","thinking","parietal"
"C4",2,0.123634472546964,0,"alpha_thinking","alpha","thinking","central"
"CP2",2,0.121833887544777,0.00153609831029186,"alpha_thinking","alpha","thinking","central"
"FT8",1,0.0639550673914604,0,"alpha_thinking","alpha","thinking","other"
"Fp1",0,0,0,"alpha_thinking","alpha","thinking","frontal"
"TP7",0,0,0,"alpha_thinking","alpha","thinking","temporal"
"PO3",0,0,0,"alpha_thinking","alpha","thinking","parietal"
"C6",0,0,0,"alpha_thinking","alpha","thinking","other"
"T8",0,0,0,"alpha_thinking","alpha","thinking","other"
"TP8",0,0,0,"alpha_thinking","alpha","thinking","temporal"
"CP6",0,0,0,"alpha_thinking","alpha","thinking","central"
"CP4",0,0,0,"alpha_thinking","alpha","thinking","central"
"P2",0,0,0,"alpha_thinking","alpha","thinking","other"
"P4",0,0,0,"alpha_thinking","alpha","thinking","parietal"
"P6",0,0,0,"alpha_thinking","alpha","thinking","other"
"P8",0,0,0,"alpha_thinking","alpha","thinking","other"
"PO8",0,0,0,"alpha_thinking","alpha","thinking","parietal"
"PO4",0,0,0,"alpha_thinking","alpha","thinking","parietal"
"CP1",32,0.372669680277153,0.0117767537122376,"beta_med1","beta","meditation","central"
"Oz",35,0.371024891224391,0.0778289810547875,"beta_med1","beta","meditation","occipital"
"C1",29,0.327606054779117,0.0517153097798259,"beta_med1","beta","meditation","other"
"POz",30,0.308856910068195,0.0896057347670251,"beta_med1","beta","meditation","other"
"Iz",27,0.287692179700735,0.0506912442396313,"beta_med1","beta","meditation","occipital"
"AFz",24,0.270490105588281,0.010752688172043,"beta_med1","beta","meditation","other"
"P1",25,0.254613280470829,0.0389144905273938,"beta_med1","beta","meditation","other"
"CP3",23,0.241685848925621,0.0163850486431132,"beta_med1","beta","meditation","central"
"PO4",25,0.239134061235717,0.12647209421403,"beta_med1","beta","meditation","parietal"
"C3",21,0.228236476980139,0.00153609831029186,"beta_med1","beta","meditation","central"
"Cz",18,0.184453488398437,0.0112647209421403,"beta_med1","beta","meditation","central"
"CPz",18,0.176122934429873,0.0624679979518689,"beta_med1","beta","meditation","other"
"FCz",16,0.173349400633024,0.00256016385048643,"beta_med1","beta","meditation","other"
"FC1",15,0.165896054072083,0.003584229390681,"beta_med1","beta","meditation","other"
"Fz",15,0.161301792673372,0.00153609831029186,"beta_med1","beta","meditation","frontal"
"AF3",15,0.159807358006273,0.003584229390681,"beta_med1","beta","meditation","frontal"
"F1",14,0.146093530496078,0.00460829493087558,"beta_med1","beta","meditation","other"
"P10",15,0.145924415099288,0.014336917562724,"beta_med1","beta","meditation","other"
"FC3",13,0.131899721286887,0.000512032770097286,"beta_med1","beta","meditation","other"
"F5",12,0.12522052892426,0,"beta_med1","beta","meditation","other"
"P9",12,0.116578492833226,0.0153609831029186,"beta_med1","beta","meditation","other"
"Fpz",11,0.108884337009218,0.00256016385048643,"beta_med1","beta","meditation","other"
"O2",11,0.106651772691681,0.00102406554019457,"beta_med1","beta","meditation","occipital"
"F3",10,0.100509454531921,0,"beta_med1","beta","meditation","frontal"
"FC2",9,0.0883520228640418,0.0281618023553507,"beta_med1","beta","meditation","other"
"C2",9,0.0854636275267343,0.0266257040450589,"beta_med1","beta","meditation","other"
"F2",8,0.0816464776455919,0,"beta_med1","beta","meditation","other"
"AF7",8,0.0792533464362091,0.00256016385048643,"beta_med1","beta","meditation","frontal"
"O1",8,0.0782859417839527,0,"beta_med1","beta","meditation","occipital"
"F7",8,0.0774922330537062,0.00409626216077829,"beta_med1","beta","meditation","frontal"
"AF4",7,0.0710058390421203,0.000512032770097286,"beta_med1","beta","meditation","frontal"
"FC5",7,0.0692033501915,0.000512032770097286,"beta_med1","beta","meditation","other"
"Pz",7,0.0656476326748454,0.00972862263184844,"beta_med1","beta","meditation","parietal"
"Fp2",6,0.0585691285451107,0,"beta_med1","beta","meditation","frontal"
"FT7",6,0.0577654089223271,0.000512032770097286,"beta_med1","beta","meditation","other"
"P2",6,0.0576350757971968,0.014336917562724,"beta_med1","beta","meditation","other"
"F6",6,0.0561754658519602,0.043010752688172,"beta_med1","beta","meditation","other"
"AF8",5,0.0480655292457628,0,"beta_med1","beta","meditation","frontal"
"F8",5,0.0475837192353842,0.000512032770097286,"beta_med1","beta","meditation","frontal"
"F4",5,0.0473549653915493,0.00153609831029186,"beta_med1","beta","meditation","frontal"
"P3",4,0.0397555582378677,0.00307219662058372,"beta_med1","beta","meditation","parietal"
"PO7",4,0.0390950626117059,0.00153609831029186,"beta_med1","beta","meditation","parietal"
"C5",3,0.0293839753668427,0,"beta_med1","beta","meditation","other"
"PO3",2,0.0199272322733871,0,"beta_med1","beta","meditation","parietal"
"CP5",2,0.0198359480766466,0,"beta_med1","beta","meditation","central"
"FT8",2,0.0197194758906512,0,"beta_med1","beta","meditation","other"
"P5",2,0.0190078819635688,0,"beta_med1","beta","meditation","other"
"T7",2,0.0189700234939717,0.0266257040450589,"beta_med1","beta","meditation","other"
"C4",2,0.01843358849942,0.00256016385048643,"beta_med1","beta","meditation","central"
"P7",1,0.0101870185064384,0,"beta_med1","beta","meditation","other"
"TP7",1,0.0101028902872013,0,"beta_med1","beta","meditation","temporal"
"T8",1,0.00979756939283772,0,"beta_med1","beta","meditation","other"
"FC4",1,0.0092112178794442,0,"beta_med1","beta","meditation","other"
"CP2",1,0.00910924122166528,0,"beta_med1","beta","meditation","central"
"Fp1",0,0,0,"beta_med1","beta","meditation","frontal"
"FC6",0,0,0,"beta_med1","beta","meditation","other"
"C6",0,0,0,"beta_med1","beta","meditation","other"
"TP8",0,0,0,"beta_med1","beta","meditation","temporal"
"CP6",0,0,0,"beta_med1","beta","meditation","central"
"CP4",0,0,0,"beta_med1","beta","meditation","central"
"P4",0,0,0,"beta_med1","beta","meditation","parietal"
"P6",0,0,0,"beta_med1","beta","meditation","other"
"P8",0,0,0,"beta_med1","beta","meditation","other"
"PO8",0,0,0,"beta_med1","beta","meditation","parietal"
"CP1",35,0.558070182957977,0.0737327188940092,"beta_med2","beta","meditation","central"
"AF3",31,0.488417064327148,0.0337941628264209,"beta_med2","beta","meditation","frontal"
"AFz",28,0.439279176032179,0.0302099334357399,"beta_med2","beta","meditation","other"
"C1",24,0.372556044875896,0.0424987199180748,"beta_med2","beta","meditation","other"
"Oz",23,0.332589474188116,0.0302099334357399,"beta_med2","beta","meditation","occipital"
"Iz",22,0.316206643846651,0.0640040962621608,"beta_med2","beta","meditation","occipital"
"P1",19,0.278707625186163,0.00870455709165387,"beta_med2","beta","meditation","other"
"CPz",19,0.272790939404341,0.0373783922171019,"beta_med2","beta","meditation","other"
"Fz",18,0.270158464308767,0.0148489503328213,"beta_med2","beta","meditation","frontal"
"CP3",18,0.265307996734652,0.0112647209421403,"beta_med2","beta","meditation","central"
"F5",17,0.247618883636261,0.0102406554019457,"beta_med2","beta","meditation","other"
"P2",18,0.242830181640748,0.0829493087557604,"beta_med2","beta","meditation","other"
"POz",17,0.240163175543073,0.00819252432155658,"beta_med2","beta","meditation","other"
"FCz",16,0.239557853414863,0.0112647209421403,"beta_med2","beta","meditation","other"
"Cz",16,0.235858587784697,0.0112647209421403,"beta_med2","beta","meditation","central"
"O2",17,0.235415087653087,0.0542754736303123,"beta_med2","beta","meditation","occipital"
"F3",15,0.212523066569377,0.0102406554019457,"beta_med2","beta","meditation","frontal"
"CP2",14,0.197371035793642,0.0266257040450589,"beta_med2","beta","meditation","central"
"FC1",13,0.194837459006723,0.00614439324116743,"beta_med2","beta","meditation","other"
"F1",13,0.19386912476648,0.00614439324116743,"beta_med2","beta","meditation","other"
"AF7",11,0.162384635024322,0.000512032770097286,"beta_med2","beta","meditation","frontal"
"FC3",10,0.152702538266286,0.000512032770097286,"beta_med2","beta","meditation","other"
"AF4",11,0.150182894387931,0.00665642601126472,"beta_med2","beta","meditation","frontal"
"FC2",10,0.143775646376103,0.00204813108038914,"beta_med2","beta","meditation","other"
"PO4",10,0.141179320964046,0.0363543266769073,"beta_med2","beta","meditation","parietal"
"F2",10,0.140308016048861,0.00256016385048643,"beta_med2","beta","meditation","other"
"C2",10,0.139906652167981,0.00870455709165387,"beta_med2","beta","meditation","other"
"F7",10,0.139858735549173,0.003584229390681,"beta_med2","beta","meditation","frontal"
"P10",9,0.127468910749429,0.00563236047107015,"beta_med2","beta","meditation","other"
